ID,UnitName,FactionName,FactionID
2,Spawn Point (Only GM can see it),Friendly,31
1,Waypoint (Only GM can see it),Friendly,31
3,Flesh Eater,"Undead, Scourge",20
6,Kobold Vermin,Kobold,25
30,Forest Spider,Beast - Spider,22
36,Harvest Golem,Monster,14
38,Defias Thug,Defias Brotherhood,15
40,Kobold Miner,Kobold,25
43,Mine Spider,Beast - Spider,22
46,Murloc Forager,Murloc,19
48,Skeletal Warrior,"Undead, Scourge",20
54,Corina Steele,Stormwind,72
60,Ruklar the Trapper,Kobold,25
61,Thuros Lightfingers,Defias Brotherhood,15
66,Tharynn Bouden,Stormwind,72
68,Stormwind City Guard,Stormwind,72
69,Timber Wolf,Beast - Wolf,29
74,Kurran Steele,Stormwind,72
78,Janos Hammerknuckle,Stormwind,72
79,Narg the Taskmaster,Kobold,25
80,Kobold Laborer,Kobold,25
89,Infernal,Demon,73
92,Rock Elemental,Elemental,74
94,Defias Cutpurse,Defias Brotherhood,15
95,Defias Smuggler,Defias Brotherhood,15
97,Riverpaw Runt,"Gnoll, Riverpaw",16
98,Riverpaw Taskmaster,"Gnoll, Riverpaw",16
99,Morgaine the Sly,Defias Brotherhood,15
100,Gruff Swiftbite,"Gnoll, Riverpaw",16
103,Garrick Padfoot,Defias Brotherhood,15
113,Stonetusk Boar,Creature,7
114,Harvest Watcher,Monster,14
115,Harvest Reaper,Monster,14
116,Defias Bandit,Defias Brotherhood,15
117,Riverpaw Gnoll,"Gnoll, Riverpaw",16
118,Prowler,Beast - Wolf,29
119,Longsnout,Creature,7
121,Defias Pathstalker,Defias Brotherhood,15
122,Defias Highwayman,Defias Brotherhood,15
123,Riverpaw Mongrel,"Gnoll, Riverpaw",16
124,Riverpaw Brute,"Gnoll, Riverpaw",16
125,Riverpaw Overseer,"Gnoll, Riverpaw",16
126,Murloc Coastrunner,Murloc,19
127,Murloc Tidehunter,Murloc,19
151,Brog Hamfist,Stormwind,72
152,Brother Danil,Stormwind,72
154,Greater Fleshripper,Beast - Carrion Bird,669
157,Goretusk,Creature,7
167,Morhan Coppertongue,Ironforge,47
171,Murloc Warrior,Murloc,19
190,Dermot Johns,Stormwind,72
193,Blue Dragonspawn,"Dragonflight, Red",50
196,Eagan Peltskinner,Stormwind,72
197,Marshal McBride,Stormwind,72
198,Khelden Bremen,Stormwind,72
199,Young Fleshripper,Beast - Carrion Bird,669
202,Skeletal Horror,"Undead, Scourge",20
203,Skeletal Mage,"Undead, Scourge",20
205,Nightbane Dark Runner,Worgen,24
206,Nightbane Vile Fang,Worgen,24
210,Bone Chewer,"Undead, Scourge",20
212,Splinter Fist Warrior,Ogre,38
213,Starving Dire Wolf,Beast - Wolf,29
215,Defias Night Runner,Defias Brotherhood,15
217,Venom Web Spider,Beast - Spider,22
218,Grave Robber,Defias Brotherhood,15
222,Nillen Andemar,Ironforge,47
223,Dan Golthas,Undercity,68
225,Gavin Gnarltree,Stormwind,72
226,Morg Gnarltree,Stormwind,72
227,Mabel Solaj,Stormwind,72
228,Avette Fellwood,Stormwind,72
232,Farmer Ray,Hillsbrad Militia,71
233,Farmer Saldean,Stormwind,72
234,Gryan Stoutmantle,Stormwind,72
235,Salma Saldean,Stormwind,72
237,Farmer Furlbrow,Stormwind,72
238,Verna Furlbrow,Stormwind,72
239,Grimbooze Thunderbrew,Ironforge,47
240,Marshal Dughan,Stormwind,72
241,"Remy \""Two Times\"",""Stormwind",72,
244,Ma Stonefield,Stormwind,72
246,"\""Auntie\"" Bernice Stonefield",Stormwind,72
